,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
69,LK Altmarkkreis Salzwedel,2019,7183763,0.0,0.6133284,4987766,0,7416397,181.33,1581929,1236984,"1,29866E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
70,LK Altötting,2010,2490609,0.0,7738401,455243,"1,83451E+14","7,61919E+14","1,79576E+11","1,62368E+14",2378716,"1,34257E+14",8336.46801726763,194.35040392641554,195.89038022838824,0.663
71,LK Altötting,2011,2173242,0.0,750378,461581,"1,8345E+13","7,61919E+14","1,79576E+14","1,62368E+14",2207675,"1,35126E+14",8336.46801726763,194.35040392641554,195.89038022838824,0.663
72,LK Altötting,2012,203628,0.0,5973521,4658696,"1,99139E+14","7,6439E+14","1,79654E+14","1,62507E+14",2119253,1236154,8336.46801726763,194.35040392641554,195.89038022838824,0.663
73,LK Altötting,2013,"1,95021E+14",0.0076965727665528,6294697,"5,15284E+14","1,88772E+14","7,62757E+13","1,79602E+14","1,62415E+13","1,786E+14",1635168,8336.46801726763,194.35040392641554,195.89038022838824,0.663
74,LK Altötting,2014,1794541,0.0,1112459,4314068,0,6982995,154.79,144.95,1838057,1391417,8336.46801726763,194.35040392641554,195.89038022838824,0.663
75,LK Altötting,2015,1860458,0.0,1128642,4955994,0,7854011,202.15,1747775,1801493,137149,8336.46801726763,194.35040392641554,195.89038022838824,0.663
76,LK Altötting,2016,1842137,0.0,105713,4293344,0,7107147,147.83,1332987,1667731,1234566,8336.46801726763,194.35040392641554,195.89038022838824,0.663
77,LK Altötting,2017,1803037,0.0,9793047,501999,1,7976215,1995113,1878553,1759239,124877,8336.46801726763,194.35040392641554,195.89038022838824,0.663
78,LK Altötting,2018,1740709,0.0,7282814,5461806,0,8600541,1773526,1677772,1915856,1361251,8336.46801726763,194.35040392641554,195.89038022838824,0.663
79,LK Altötting,2019,1674491,0.0,6917744,486736,0,7883908,1717081,1643122,159836,1077888,8336.46801726763,194.35040392641554,195.89038022838824,0.663
80,LK Alzey-Worms,2010,"1,69713E+14",0.0063271207902921,"1,19063E+14","4,80325E+14",0.461614790523051,"7,4029E+14","1,78892E+14","1,61149E+14","1,7539E+14","1,30896E+14",5306.20051256551,109.3983092988563,222.46262752778827,0.678
